Vrouwen,,,,,,,,,,
x,A(x),B(x),alpha(x),beta(x),frak-beta(x),,t,K(t),kappa(t),frak-kappa(t)
102,-0.557356586,0.003002569,0.017868155,0.010791472,0.033604060,,,,,
103,-0.492002137,0.002831669,0.016875480,0.010160427,0.033604060,,,,,
104,-0.431942151,0.002670496,0.015882805,0.009496060,0.033604060,,,,,
105,-0.377103586,0.002518497,0.014890130,0.008813103,0.033604060,,,,,
106,-0.327351746,0.002375150,0.013897454,0.008125891,0.033604060,,,,,
107,-0.282497190,0.002239961,0.012904779,0.007447766,0.033604060,,,,,
108,-0.242304482,0.002112467,0.011912104,0.006790592,0.033604060,,,,,
109,-0.206502066,0.001992230,0.010919428,0.006164421,0.033604060,,,,,
110,-0.174792533,0.001878836,0.009926753,0.005577318,0.033604060,,,,,
111,-0.146862622,0.001771897,0.008934078,0.005035324,0.033604060,,,,,
112,-0.122392425,0.001671044,0.007941402,0.004542549,0.033604060,,,,,
113,-0.101063412,0.001575932,0.006948727,0.004101341,0.033604060,,,,,
114,-0.082565070,0.001486233,0.005956052,0.003712528,0.033604060,,,,,
115,-0.066600093,0.001401640,0.004963377,0.003375672,0.033604060,,,,,
116,-0.052888170,0.001321861,0.003970701,0.003089337,0.033604060,,,,,
117,-0.041168492,0.001246624,0.002978026,0.002851333,0.033604060,,,,,
118,-0.031201167,0.001175669,0.001985351,0.002658948,0.033604060,,,,,
119,-0.022767731,0.001108752,0.000992675,0.002509131,0.033604060,,,,,
120,-0.015670954,0.001045644,0.000000000,0.002398652,0.033604060,,,,,
